case_id,summary,offense,ipc_section,detention,expected_sentence,age,gender,priority_label,undertrial_flag
C00041,"Physical assault case, undertrial for 17 months",assault,IPC 351,17,24,68,Female,medium,no
C00042,"Physical assault case, undertrial for 6 months",assault,IPC 351,6,24,20,Female,low,no
C00043,"Robbery case, in custody for 30 months",robbery,IPC 392,30,36,38,Female,medium,no
C00044,"Financial fraud case, in custody for 34 months",fraud,IPC 420,34,12,23,Female,high,yes
C00045,"Minor theft case, detained for 3 months",theft,IPC 379,3,6,53,Male,low,no
C00046,"Physical assault case, undertrial for 20 months",assault,IPC 351,20,24,52,Female,medium,no
C00047,"Robbery case, detained for 18 months",robbery,IPC 392,18,36,29,Male,low,no
C00048,"Robbery case, undertrial for 34 months",robbery,IPC 392,34,36,61,Female,medium,no
C00049,"Financial fraud case, in custody for 16 months",fraud,IPC 420,16,12,31,Male,high,yes
C00050,"Financial fraud case, detained for 34 months",fraud,IPC 420,34,12,51,Male,high,yes
C00051,"Financial fraud case, undertrial for 12 months",fraud,IPC 420,12,12,59,Female,medium,no
C00052,"Robbery case, in custody for 16 months",robbery,IPC 392,16,36,65,Male,low,no
C00053,"Physical assault case, in custody for 6 months",assault,IPC 351,6,24,53,Female,low,no
C00054,"Minor theft case, in custody for 16 months",theft,IPC 379,16,6,31,Female,high,yes
C00055,"Minor theft case, in custody for 16 months",theft,IPC 379,16,6,52,Female,high,yes
C00056,"Physical assault case, in custody for 17 months",assault,IPC 351,17,24,35,Female,medium,no
C00057,"Financial fraud case, detained for 4 months",fraud,IPC 420,4,12,65,Female,low,no
C00058,"Physical assault case, undertrial for 29 months",assault,IPC 351,29,24,26,Female,high,yes
C00059,"Financial fraud case, detained for 14 months",fraud,IPC 420,14,12,35,Male,high,yes
C00060,"Financial fraud case, undertrial for 34 months",fraud,IPC 420,34,12,31,Female,high,yes
C00061,"Financial fraud case, in custody for 34 months",fraud,IPC 420,34,12,38,Male,high,yes
C00062,"Robbery case, in custody for 8 months",robbery,IPC 392,8,36,19,Female,low,no
C00063,"Robbery case, in custody for 33 months",robbery,IPC 392,33,36,35,Female,medium,no
C00064,"Physical assault case, in custody for 17 months",assault,IPC 351,17,24,50,Male,medium,no
C00065,"Robbery case, in custody for 18 months",robbery,IPC 392,18,36,53,Male,low,no
C00066,"Physical assault case, detained for 23 months",assault,IPC 351,23,24,46,Male,medium,no
C00067,"Financial fraud case, detained for 26 months",fraud,IPC 420,26,12,18,Male,high,yes
C00068,"Financial fraud case, in custody for 18 months",fraud,IPC 420,18,12,46,Female,high,yes
C00069,"Physical assault case, detained for 28 months",assault,IPC 351,28,24,54,Male,high,yes
C00070,"Physical assault case, undertrial for 21 months",assault,IPC 351,21,24,34,Male,medium,no
C00071,"Robbery case, in custody for 11 months",robbery,IPC 392,11,36,64,Female,low,no
C00072,"Financial fraud case, detained for 19 months",fraud,IPC 420,19,12,44,Female,high,yes
C00073,"Robbery case, undertrial for 12 months",robbery,IPC 392,12,36,69,Female,low,no
C00074,"Financial fraud case, detained for 11 months",fraud,IPC 420,11,12,26,Male,medium,no
C00075,"Robbery case, undertrial for 9 months",robbery,IPC 392,9,36,26,Male,low,no
C00076,"Robbery case, in custody for 8 months",robbery,IPC 392,8,36,47,Female,low,no
C00077,"Financial fraud case, in custody for 35 months",fraud,IPC 420,35,12,32,Male,high,yes
C00078,"Financial fraud case, undertrial for 13 months",fraud,IPC 420,13,12,55,Female,high,yes
C00079,"Financial fraud case, in custody for 13 months",fraud,IPC 420,13,12,19,Male,high,yes
C00080,"Minor theft case, in custody for 28 months",theft,IPC 379,28,6,41,Male,high,yes
C00081,"Robbery case, in custody for 12 months",robbery,IPC 392,12,36,27,Male,low,no
C00082,"Robbery case, detained for 10 months",robbery,IPC 392,10,36,40,Female,low,no
C00083,"Minor theft case, in custody for 29 months",theft,IPC 379,29,6,59,Male,high,yes
C00084,"Robbery case, in custody for 21 months",robbery,IPC 392,21,36,48,Female,medium,no
C00085,"Financial fraud case, in custody for 13 months",fraud,IPC 420,13,12,51,Female,high,yes
C00086,"Physical assault case, in custody for 19 months",assault,IPC 351,19,24,69,Male,medium,no
C00087,"Robbery case, detained for 27 months",robbery,IPC 392,27,36,44,Female,medium,no
C00088,"Robbery case, detained for 22 months",robbery,IPC 392,22,36,31,Female,medium,no
C00089,"Physical assault case, undertrial for 8 months",assault,IPC 351,8,24,50,Female,low,no
C00090,"Robbery case, in custody for 29 months",robbery,IPC 392,29,36,57,Male,medium,no
C00091,"Physical assault case, undertrial for 27 months",assault,IPC 351,27,24,47,Male,high,yes
C00092,"Minor theft case, in custody for 2 months",theft,IPC 379,2,6,50,Male,low,no
C00093,"Financial fraud case, undertrial for 13 months",fraud,IPC 420,13,12,68,Female,high,yes
C00094,"Financial fraud case, detained for 14 months",fraud,IPC 420,14,12,41,Female,high,yes
C00095,"Minor theft case, detained for 5 months",theft,IPC 379,5,6,19,Female,medium,no
C00096,"Physical assault case, detained for 3 months",assault,IPC 351,3,24,67,Male,low,no
C00097,"Physical assault case, undertrial for 25 months",assault,IPC 351,25,24,26,Female,high,yes
C00098,"Minor theft case, in custody for 36 months",theft,IPC 379,36,6,19,Male,high,yes
C00099,"Physical assault case, undertrial for 23 months",assault,IPC 351,23,24,35,Female,medium,no
C00100,"Physical assault case, in custody for 33 months",assault,IPC 351,33,24,70,Female,high,yes
C00101,"Financial fraud case, undertrial for 29 months",fraud,IPC 420,29,12,41,Male,high,yes
C00102,"Robbery case, in custody for 26 months",robbery,IPC 392,26,36,59,Male,medium,no
C00103,"Minor theft case, undertrial for 34 months",theft,IPC 379,34,6,40,Female,high,yes
C00104,"Financial fraud case, detained for 16 months",fraud,IPC 420,16,12,35,Female,high,yes
C00105,"Robbery case, detained for 35 months",robbery,IPC 392,35,36,34,Female,medium,no
C00106,"Physical assault case, in custody for 31 months",assault,IPC 351,31,24,53,Female,high,yes
C00107,"Physical assault case, detained for 18 months",assault,IPC 351,18,24,24,Female,medium,no
C00108,"Financial fraud case, in custody for 10 months",fraud,IPC 420,10,12,20,Male,medium,no
C00109,"Financial fraud case, in custody for 20 months",fraud,IPC 420,20,12,67,Female,high,yes
C00110,"Financial fraud case, undertrial for 14 months",fraud,IPC 420,14,12,46,Male,high,yes
C00111,"Physical assault case, in custody for 19 months",assault,IPC 351,19,24,28,Male,medium,no
C00112,"Financial fraud case, undertrial for 24 months",fraud,IPC 420,24,12,38,Female,high,yes
C00113,"Financial fraud case, in custody for 5 months",fraud,IPC 420,5,12,42,Female,low,no
C00114,"Financial fraud case, detained for 18 months",fraud,IPC 420,18,12,27,Female,high,yes
C00115,"Physical assault case, in custody for 24 months",assault,IPC 351,24,24,59,Male,medium,no
C00116,"Minor theft case, undertrial for 28 months",theft,IPC 379,28,6,22,Female,high,yes
C00117,"Minor theft case, undertrial for 1 months",theft,IPC 379,1,6,47,Female,low,no
C00118,"Physical assault case, detained for 24 months",assault,IPC 351,24,24,46,Male,medium,no
C00119,"Minor theft case, undertrial for 30 months",theft,IPC 379,30,6,47,Female,high,yes
C00120,"Minor theft case, undertrial for 19 months",theft,IPC 379,19,6,28,Male,high,yes
C00121,"Robbery case, in custody for 5 months",robbery,IPC 392,5,36,52,Male,low,no
C00122,"Minor theft case, detained for 3 months",theft,IPC 379,3,6,21,Female,low,no
C00123,"Robbery case, in custody for 9 months",robbery,IPC 392,9,36,22,Male,low,no
C00124,"Financial fraud case, undertrial for 13 months",fraud,IPC 420,13,12,18,Female,high,yes
C00125,"Financial fraud case, in custody for 12 months",fraud,IPC 420,12,12,54,Female,medium,no
C00126,"Physical assault case, in custody for 36 months",assault,IPC 351,36,24,38,Male,high,yes
C00127,"Financial fraud case, undertrial for 8 months",fraud,IPC 420,8,12,42,Female,medium,no
C00128,"Physical assault case, detained for 32 months",assault,IPC 351,32,24,57,Female,high,yes
C00129,"Minor theft case, detained for 18 months",theft,IPC 379,18,6,57,Female,high,yes
C00130,"Robbery case, in custody for 27 months",robbery,IPC 392,27,36,23,Male,medium,no
C00131,"Physical assault case, in custody for 36 months",assault,IPC 351,36,24,34,Male,high,yes
C00132,"Physical assault case, in custody for 22 months",assault,IPC 351,22,24,20,Male,medium,no
C00133,"Minor theft case, in custody for 11 months",theft,IPC 379,11,6,44,Male,high,yes
C00134,"Robbery case, in custody for 15 months",robbery,IPC 392,15,36,48,Female,low,no
C00135,"Robbery case, in custody for 10 months",robbery,IPC 392,10,36,29,Female,low,no
C00136,"Physical assault case, undertrial for 6 months",assault,IPC 351,6,24,56,Male,low,no
C00137,"Minor theft case, in custody for 36 months",theft,IPC 379,36,6,53,Female,high,yes
C00138,"Physical assault case, undertrial for 35 months",assault,IPC 351,35,24,50,Female,high,yes
C00139,"Robbery case, detained for 23 months",robbery,IPC 392,23,36,60,Male,medium,no
C00140,"Robbery case, undertrial for 1 months",robbery,IPC 392,1,36,23,Female,low,no
C00141,"Financial fraud case, in custody for 25 months",fraud,IPC 420,25,12,20,Male,high,yes
C00142,"Robbery case, undertrial for 20 months",robbery,IPC 392,20,36,18,Female,medium,no
C00143,"Minor theft case, in custody for 21 months",theft,IPC 379,21,6,33,Female,high,yes
C00144,"Minor theft case, detained for 33 months",theft,IPC 379,33,6,39,Female,high,yes
C00145,"Financial fraud case, in custody for 27 months",fraud,IPC 420,27,12,28,Female,high,yes
C00146,"Robbery case, undertrial for 6 months",robbery,IPC 392,6,36,53,Male,low,no
C00147,"Minor theft case, in custody for 19 months",theft,IPC 379,19,6,46,Male,high,yes
C00148,"Physical assault case, undertrial for 12 months",assault,IPC 351,12,24,52,Female,low,no
C00149,"Robbery case, in custody for 16 months",robbery,IPC 392,16,36,40,Female,low,no
C00150,"Minor theft case, undertrial for 17 months",theft,IPC 379,17,6,21,Male,high,yes
C00151,"Minor theft case, in custody for 9 months",theft,IPC 379,9,6,39,Male,high,yes
C00152,"Financial fraud case, undertrial for 15 months",fraud,IPC 420,15,12,54,Male,high,yes
C00153,"Financial fraud case, in custody for 3 months",fraud,IPC 420,3,12,39,Male,low,no
C00154,"Robbery case, in custody for 4 months",robbery,IPC 392,4,36,55,Female,low,no
C00155,"Physical assault case, undertrial for 25 months",assault,IPC 351,25,24,20,Female,high,yes
C00156,"Financial fraud case, in custody for 18 months",fraud,IPC 420,18,12,57,Female,high,yes
C00157,"Financial fraud case, detained for 10 months",fraud,IPC 420,10,12,33,Female,medium,no
C00158,"Financial fraud case, in custody for 32 months",fraud,IPC 420,32,12,19,Male,high,yes
C00159,"Robbery case, in custody for 11 months",robbery,IPC 392,11,36,24,Female,low,no
C00160,"Minor theft case, in custody for 24 months",theft,IPC 379,24,6,58,Male,high,yes
C00161,"Minor theft case, undertrial for 4 months",theft,IPC 379,4,6,36,Male,medium,no
C00162,"Financial fraud case, detained for 24 months",fraud,IPC 420,24,12,65,Male,high,yes
C00163,"Robbery case, undertrial for 8 months",robbery,IPC 392,8,36,66,Female,low,no
C00164,"Robbery case, undertrial for 24 months",robbery,IPC 392,24,36,40,Male,medium,no
C00165,"Minor theft case, undertrial for 19 months",theft,IPC 379,19,6,55,Female,high,yes
C00166,"Minor theft case, undertrial for 10 months",theft,IPC 379,10,6,51,Female,high,yes
C00167,"Minor theft case, in custody for 13 months",theft,IPC 379,13,6,47,Female,high,yes
C00168,"Robbery case, in custody for 22 months",robbery,IPC 392,22,36,53,Female,medium,no
C00169,"Minor theft case, undertrial for 19 months",theft,IPC 379,19,6,33,Female,high,yes
C00170,"Minor theft case, undertrial for 22 months",theft,IPC 379,22,6,19,Male,high,yes
C00171,"Minor theft case, undertrial for 32 months",theft,IPC 379,32,6,61,Male,high,yes
C00172,"Minor theft case, detained for 32 months",theft,IPC 379,32,6,50,Female,high,yes
C00173,"Physical assault case, detained for 3 months",assault,IPC 351,3,24,26,Male,low,no
C00174,"Robbery case, detained for 33 months",robbery,IPC 392,33,36,47,Male,medium,no
C00175,"Financial fraud case, undertrial for 14 months",fraud,IPC 420,14,12,64,Female,high,yes
C00176,"Robbery case, detained for 14 months",robbery,IPC 392,14,36,47,Female,low,no
C00177,"Minor theft case, undertrial for 31 months",theft,IPC 379,31,6,48,Male,high,yes
C00178,"Physical assault case, in custody for 31 months",assault,IPC 351,31,24,66,Male,high,yes
C00179,"Robbery case, detained for 14 months",robbery,IPC 392,14,36,34,Male,low,no
C00180,"Robbery case, detained for 2 months",robbery,IPC 392,2,36,18,Male,low,no
C00181,"Financial fraud case, in custody for 4 months",fraud,IPC 420,4,12,27,Female,low,no
C00182,"Financial fraud case, in custody for 14 months",fraud,IPC 420,14,12,69,Male,high,yes
C00183,"Physical assault case, detained for 10 months",assault,IPC 351,10,24,70,Male,low,no
C00184,"Minor theft case, undertrial for 15 months",theft,IPC 379,15,6,36,Male,high,yes
C00185,"Robbery case, in custody for 14 months",robbery,IPC 392,14,36,68,Male,low,no
C00186,"Robbery case, in custody for 36 months",robbery,IPC 392,36,36,19,Male,medium,no
C00187,"Robbery case, in custody for 14 months",robbery,IPC 392,14,36,30,Male,low,no
C00188,"Financial fraud case, detained for 22 months",fraud,IPC 420,22,12,20,Female,high,yes
C00189,"Physical assault case, in custody for 21 months",assault,IPC 351,21,24,29,Male,medium,no
C00190,"Minor theft case, detained for 1 months",theft,IPC 379,1,6,55,Male,low,no
C00191,"Robbery case, in custody for 18 months",robbery,IPC 392,18,36,51,Female,low,no
C00192,"Financial fraud case, detained for 9 months",fraud,IPC 420,9,12,38,Female,medium,no
C00193,"Physical assault case, undertrial for 33 months",assault,IPC 351,33,24,49,Male,high,yes
C00194,"Robbery case, undertrial for 11 months",robbery,IPC 392,11,36,58,Female,low,no
C00195,"Minor theft case, in custody for 15 months",theft,IPC 379,15,6,56,Male,high,yes
C00196,"Robbery case, in custody for 31 months",robbery,IPC 392,31,36,32,Female,medium,no
C00197,"Minor theft case, undertrial for 25 months",theft,IPC 379,25,6,53,Female,high,yes
C00198,"Robbery case, detained for 9 months",robbery,IPC 392,9,36,69,Female,low,no
C00199,"Financial fraud case, in custody for 1 months",fraud,IPC 420,1,12,64,Female,low,no
C00200,"Minor theft case, detained for 25 months",theft,IPC 379,25,6,69,Male,high,yes
C00201,"Robbery case, undertrial for 33 months",robbery,IPC 392,33,36,53,Female,medium,no
C00202,"Financial fraud case, detained for 2 months",fraud,IPC 420,2,12,47,Female,low,no
C00203,"Minor theft case, detained for 12 months",theft,IPC 379,12,6,31,Male,high,yes
C00204,"Financial fraud case, in custody for 18 months",fraud,IPC 420,18,12,61,Female,high,yes
C00205,"Physical assault case, undertrial for 22 months",assault,IPC 351,22,24,42,Male,medium,no
C00206,"Financial fraud case, in custody for 26 months",fraud,IPC 420,26,12,49,Male,high,yes
C00207,"Robbery case, detained for 7 months",robbery,IPC 392,7,36,58,Male,low,no
C00208,"Financial fraud case, undertrial for 22 months",fraud,IPC 420,22,12,58,Female,high,yes
C00209,"Minor theft case, undertrial for 1 months",theft,IPC 379,1,6,25,Female,low,no
C00210,"Robbery case, in custody for 36 months",robbery,IPC 392,36,36,19,Female,medium,no
C00211,"Physical assault case, in custody for 31 months",assault,IPC 351,31,24,29,Female,high,yes
C00212,"Minor theft case, detained for 30 months",theft,IPC 379,30,6,40,Male,high,yes
C00213,"Robbery case, detained for 1 months",robbery,IPC 392,1,36,63,Female,low,no
C00214,"Robbery case, in custody for 32 months",robbery,IPC 392,32,36,31,Female,medium,no
C00215,"Robbery case, detained for 36 months",robbery,IPC 392,36,36,51,Male,medium,no
C00216,"Robbery case, undertrial for 29 months",robbery,IPC 392,29,36,55,Male,medium,no
C00217,"Minor theft case, detained for 35 months",theft,IPC 379,35,6,67,Male,high,yes
C00218,"Physical assault case, detained for 8 months",assault,IPC 351,8,24,49,Male,low,no
C00219,"Minor theft case, undertrial for 36 months",theft,IPC 379,36,6,33,Female,high,yes
C00220,"Physical assault case, undertrial for 19 months",assault,IPC 351,19,24,52,Female,medium,no
C00221,"Financial fraud case, detained for 5 months",fraud,IPC 420,5,12,32,Female,low,no
C00222,"Robbery case, in custody for 17 months",robbery,IPC 392,17,36,25,Male,low,no
C00223,"Minor theft case, in custody for 12 months",theft,IPC 379,12,6,65,Male,high,yes
C00224,"Minor theft case, undertrial for 1 months",theft,IPC 379,1,6,23,Female,low,no
C00225,"Physical assault case, in custody for 28 months",assault,IPC 351,28,24,21,Male,high,yes
C00226,"Robbery case, in custody for 7 months",robbery,IPC 392,7,36,28,Male,low,no
C00227,"Minor theft case, detained for 14 months",theft,IPC 379,14,6,25,Male,high,yes
C00228,"Physical assault case, in custody for 28 months",assault,IPC 351,28,24,28,Male,high,yes
C00229,"Minor theft case, detained for 6 months",theft,IPC 379,6,6,29,Male,medium,no
C00230,"Robbery case, in custody for 15 months",robbery,IPC 392,15,36,66,Male,low,no
C00231,"Physical assault case, detained for 34 months",assault,IPC 351,34,24,63,Male,high,yes
C00232,"Financial fraud case, in custody for 3 months",fraud,IPC 420,3,12,50,Female,low,no
C00233,"Minor theft case, in custody for 31 months",theft,IPC 379,31,6,42,Female,high,yes
C00234,"Physical assault case, detained for 5 months",assault,IPC 351,5,24,19,Male,low,no
C00235,"Robbery case, in custody for 26 months",robbery,IPC 392,26,36,61,Female,medium,no
C00236,"Robbery case, undertrial for 13 months",robbery,IPC 392,13,36,19,Female,low,no
C00237,"Financial fraud case, in custody for 10 months",fraud,IPC 420,10,12,53,Male,medium,no
C00238,"Minor theft case, undertrial for 15 months",theft,IPC 379,15,6,45,Female,high,yes
C00239,"Robbery case, in custody for 28 months",robbery,IPC 392,28,36,19,Female,medium,no
C00240,"Minor theft case, undertrial for 6 months",theft,IPC 379,6,6,49,Male,medium,no
C00241,"Physical assault case, detained for 12 months",assault,IPC 351,12,24,23,Male,low,no
C00242,"Financial fraud case, detained for 29 months",fraud,IPC 420,29,12,52,Male,high,yes
C00243,"Financial fraud case, detained for 30 months",fraud,IPC 420,30,12,49,Female,high,yes
C00244,"Physical assault case, detained for 23 months",assault,IPC 351,23,24,61,Female,medium,no
C00245,"Robbery case, undertrial for 26 months",robbery,IPC 392,26,36,53,Female,medium,no
C00246,"Robbery case, detained for 20 months",robbery,IPC 392,20,36,64,Female,medium,no
C00247,"Financial fraud case, detained for 16 months",fraud,IPC 420,16,12,21,Female,high,yes
C00248,"Minor theft case, detained for 13 months",theft,IPC 379,13,6,28,Male,high,yes
C00249,"Physical assault case, detained for 19 months",assault,IPC 351,19,24,39,Female,medium,no
C00250,"Minor theft case, undertrial for 2 months",theft,IPC 379,2,6,35,Male,low,no
C00251,"Financial fraud case, in custody for 2 months",fraud,IPC 420,2,12,26,Female,low,no
C00252,"Financial fraud case, in custody for 27 months",fraud,IPC 420,27,12,42,Male,high,yes
C00253,"Robbery case, in custody for 22 months",robbery,IPC 392,22,36,34,Female,medium,no
C00254,"Robbery case, undertrial for 9 months",robbery,IPC 392,9,36,26,Female,low,no
C00255,"Robbery case, undertrial for 35 months",robbery,IPC 392,35,36,51,Female,medium,no
C00256,"Robbery case, in custody for 30 months",robbery,IPC 392,30,36,67,Female,medium,no
C00257,"Robbery case, in custody for 30 months",robbery,IPC 392,30,36,43,Male,medium,no
C00258,"Financial fraud case, undertrial for 16 months",fraud,IPC 420,16,12,43,Male,high,yes
C00259,"Minor theft case, detained for 7 months",theft,IPC 379,7,6,31,Female,high,yes
C00260,"Minor theft case, undertrial for 12 months",theft,IPC 379,12,6,38,Female,high,yes
C00261,"Robbery case, undertrial for 23 months",robbery,IPC 392,23,36,69,Male,medium,no
C00262,"Minor theft case, detained for 32 months",theft,IPC 379,32,6,58,Male,high,yes
C00263,"Robbery case, detained for 21 months",robbery,IPC 392,21,36,51,Male,medium,no
C00264,"Financial fraud case, undertrial for 14 months",fraud,IPC 420,14,12,21,Male,high,yes
C00265,"Financial fraud case, detained for 22 months",fraud,IPC 420,22,12,59,Female,high,yes
C00266,"Robbery case, undertrial for 31 months",robbery,IPC 392,31,36,36,Male,medium,no
C00267,"Financial fraud case, detained for 17 months",fraud,IPC 420,17,12,69,Female,high,yes
C00268,"Robbery case, undertrial for 31 months",robbery,IPC 392,31,36,47,Female,medium,no
C00269,"Robbery case, undertrial for 24 months",robbery,IPC 392,24,36,61,Male,medium,no
C00270,"Robbery case, detained for 28 months",robbery,IPC 392,28,36,67,Male,medium,no
C00271,"Robbery case, in custody for 25 months",robbery,IPC 392,25,36,36,Female,medium,no
C00272,"Robbery case, undertrial for 21 months",robbery,IPC 392,21,36,52,Female,medium,no
C00273,"Financial fraud case, in custody for 15 months",fraud,IPC 420,15,12,32,Female,high,yes
C00274,"Minor theft case, in custody for 25 months",theft,IPC 379,25,6,28,Female,high,yes
C00275,"Minor theft case, in custody for 18 months",theft,IPC 379,18,6,32,Female,high,yes
C00276,"Minor theft case, in custody for 20 months",theft,IPC 379,20,6,62,Male,high,yes
C00277,"Physical assault case, undertrial for 23 months",assault,IPC 351,23,24,35,Female,medium,no
C00278,"Robbery case, detained for 7 months",robbery,IPC 392,7,36,19,Female,low,no
C00279,"Minor theft case, in custody for 23 months",theft,IPC 379,23,6,46,Female,high,yes
C00280,"Physical assault case, undertrial for 28 months",assault,IPC 351,28,24,21,Male,high,yes
C00281,"Robbery case, undertrial for 15 months",robbery,IPC 392,15,36,28,Female,low,no
C00282,"Minor theft case, in custody for 18 months",theft,IPC 379,18,6,47,Female,high,yes
C00283,"Minor theft case, detained for 25 months",theft,IPC 379,25,6,53,Male,high,yes
C00284,"Robbery case, in custody for 8 months",robbery,IPC 392,8,36,54,Female,low,no
C00285,"Financial fraud case, undertrial for 25 months",fraud,IPC 420,25,12,45,Female,high,yes
C00286,"Financial fraud case, in custody for 1 months",fraud,IPC 420,1,12,32,Female,low,no
C00287,"Physical assault case, in custody for 4 months",assault,IPC 351,4,24,21,Male,low,no
C00288,"Robbery case, undertrial for 20 months",robbery,IPC 392,20,36,58,Male,medium,no
C00289,"Physical assault case, undertrial for 20 months",assault,IPC 351,20,24,39,Female,medium,no
C00290,"Robbery case, detained for 30 months",robbery,IPC 392,30,36,36,Male,medium,no
C00291,"Minor theft case, detained for 28 months",theft,IPC 379,28,6,47,Female,high,yes
C00292,"Robbery case, in custody for 22 months",robbery,IPC 392,22,36,52,Female,medium,no
C00293,"Financial fraud case, undertrial for 9 months",fraud,IPC 420,9,12,49,Female,medium,no
C00294,"Financial fraud case, detained for 34 months",fraud,IPC 420,34,12,68,Male,high,yes
C00295,"Robbery case, undertrial for 21 months",robbery,IPC 392,21,36,18,Male,medium,no
C00296,"Minor theft case, detained for 20 months",theft,IPC 379,20,6,42,Male,high,yes
C00297,"Physical assault case, detained for 5 months",assault,IPC 351,5,24,20,Male,low,no
C00298,"Robbery case, detained for 9 months",robbery,IPC 392,9,36,60,Male,low,no
C00299,"Physical assault case, detained for 24 months",assault,IPC 351,24,24,35,Male,medium,no
C00300,"Robbery case, detained for 10 months",robbery,IPC 392,10,36,57,Female,low,no
C00301,"Robbery case, in custody for 22 months",robbery,IPC 392,22,36,18,Male,medium,no
C00302,"Robbery case, undertrial for 32 months",robbery,IPC 392,32,36,65,Male,medium,no
C00303,"Robbery case, in custody for 9 months",robbery,IPC 392,9,36,42,Female,low,no
C00304,"Physical assault case, undertrial for 23 months",assault,IPC 351,23,24,37,Female,medium,no
C00305,"Physical assault case, detained for 1 months",assault,IPC 351,1,24,20,Female,low,no
C00306,"Robbery case, in custody for 31 months",robbery,IPC 392,31,36,43,Male,medium,no
C00307,"Robbery case, detained for 23 months",robbery,IPC 392,23,36,41,Female,medium,no
C00308,"Minor theft case, in custody for 36 months",theft,IPC 379,36,6,34,Female,high,yes
C00309,"Physical assault case, detained for 36 months",assault,IPC 351,36,24,36,Male,high,yes
C00310,"Financial fraud case, undertrial for 9 months",fraud,IPC 420,9,12,21,Male,medium,no
C00311,"Robbery case, in custody for 7 months",robbery,IPC 392,7,36,53,Male,low,no
C00312,"Minor theft case, undertrial for 9 months",theft,IPC 379,9,6,27,Female,high,yes
C00313,"Minor theft case, undertrial for 4 months",theft,IPC 379,4,6,66,Male,medium,no
C00314,"Physical assault case, in custody for 3 months",assault,IPC 351,3,24,63,Female,low,no
